Name,10_H2S_CH4,50_H2S_CH4,10_CO2_CH4,50_CO2_CH4
THO_0,6.07E-01,5.33E-01,4.64E-01,1.14E+00
TON_0,5.87E-01,5.52E-01,6.62E-01,1.06E+00
TON_1,5.44E-01,5.66E-01,5.80E-01,0.961092482
TSC_0,6.56E-01,6.52E-01,7.09E-01,1.01E+00
TSC_1,6.98E-01,6.81E-01,7.54E-01,1.03E+00
TUN_0,6.11E-01,5.48E-01,7.24E-01,1.11E+00
TUN_1,6.06E-01,5.50E-01,7.42E-01,1.100429894
UEI_0,6.11E-01,5.35E-01,2.54E-01,1.14E+00
UFI_0,5.63E-01,5.57E-01,6.90E-01,1.011305036
UFI_1,6.04E-01,5.76E-01,7.11E-01,1.048654415
UOS_0,6.38E-01,5.80E-01,6.27E-01,1.10E+00
UOV,6.28E-01,5.96E-01,9.02E-01,1.05E+00
USI_0,6.62E-01,6.33E-01,8.72E-01,1.05E+00
UTL_0,7.03E-01,6.65E-01,9.35E-01,1.06E+00
UWY_0,6.32E-01,5.97E-01,7.70E-01,1.06E+00
VET_0,5.92E-01,5.31E-01,9.21E-01,1.11E+00
VET_1,6.04E-01,5.79E-01,9.24E-01,1.04E+00
VFI_0,7.81E-01,7.29E-01,9.46E-01,1.07E+00
VFI_1,7.50E-01,7.12E-01,9.68E-01,1.05E+00
VNI_0,7.73E-01,7.27E-01,2.80E-01,1.06E+00
VSV_0,1.351998922,1.176995538,1.213016557,1.148686531
WEI_0,1.759225571,1.521740364,1.240124739,1.156061581
WEN_0,5.85E-01,5.31E-01,5.85E-01,1.10E+00
YFI,6.62E-01,5.94E-01,5.88E-01,1.11E+00
YUG_0,9.94E-01,7.97E-01,8.63E-01,1.25E+00
ZON_0,5.04E-01,4.02E-01,5.46E-01,1.25213289
ZON_1,5.10E-01,4.25E-01,6.34E-01,1.199574125
